15-085 Białystok ul. Branickiego 13
85-224 Bydgoszcz ul. Św. Trójcy 35
ul. Wały Jagiellońskie 36 80-835 Gdańsk
ul. Grabowa 3 40-172 Katowice
ul. Targowa 18 25-520 Kielce
ul. Kraszewskiego 36 30-110 Kraków
ul. Zamenhofa 10 90-431 Łódź
20-027 Lublin ul. Karłowicza 4
al. M. J. Piłsudskiego 7/9 10-950 Olsztyn
ul. Oleska 19a 45-052 Opole
61-851 Poznań ul. Zielona 8
35-064 Rzeszów ul. A. Mickiewicza 10
ul. Światowida 77 71-727 Szczecin
ul. Koszykowa 6a 00-564 Warszawa
ul. Ofiar Oświęcimskich 5 50-069 Wrocław
65-261 Zielona Góra ul. Chmielna 13
